Date,Contributor,Address,City,State,Zip,Occupation,Employer,Principal Officer,Amount,CPF ID,Recipient,Tender Type ID,Tender Type Description,Record Type ID,Record Type Description,Source Description
3/28/2001,Greater Boston Real Estate Board PAC,11 Beacon Street,Boston,MA,2108,,,,$125.00 ,10025,"Berry, Frederick E.",0,Not Specified,202,Committee,2001 Year-end Report (ND)
4/9/2001,Greater Boston Real Estate Board PAC,11 Beacon Street,Boston,MA,2108,,,,$100.00 ,11709,"Kafka, Louis L.",0,Not Specified,202,Committee,2001 Year-end Report (ND)
4/10/2001,GREATER BOSTON REAL ESTATE BOARD,11 BEACON STREET,BOSTON,MA,2108,,,,$100.00 ,11066,"Bosley, Daniel E.",0,Not Specified,202,Committee,2001 Year-end Report (ND)
4/30/2001,Greater Boston Real Estate Board PAC,11 Beacon St.,Boston,MA,2108,,,,$100.00 ,12119,"Quinn, John F.",0,Not Specified,202,Committee,2001 Year-end Report (ND)
12/1/2001,Greater Boston Real Estate Board PAC,11 Beacon Street,Boston,MA,2108,,,,$100.00 ,12534,"Jones Jr., Bradley H.",0,Not Specified,202,Committee,2001 Year-end Report (ND)
12/2/2001,Greater Boston Real Estate Board,11 Beacon St.,Boston,MA,2108,,,,$100.00 ,11064,"Festa, Michael E.",0,Not Specified,202,Committee,2001 Year-end Report (ND)
12/18/2001,GREATER BOSTON REAL ESTATE BOARD,11 Beacon Street,Boston,MA,2108,,,,$100.00 ,11411,"Walsh, Marian",0,Not Specified,202,Committee,2001 Year-end Report (ND)
2/7/2002,Greater Boston Real Estate Board,11 Beacon Street,Boston,MA,2108,,,,$125.00 ,10307,"Melconian, Linda J.",0,Not Specified,202,Committee,2002 Pre-primary Report (ND)
2/12/2002,Greater Boston Real Estate Board,11 Beacon St.,Boston,MA,2108,,,,$100.00 ,11470,"Travaglini, Robert E.",0,Not Specified,202,Committee,2002 Pre-primary Report (ND)
2/13/2002,Greater Boston Real Estate Board PAC,11 Beacon Street,Boston,MA,2108,,,,$100.00 ,11478,"Harkins, Lida E.",0,Not Specified,202,Committee,2002 Pre-primary Report (ND)
