Date,Contributor,Address,City,State,Zip,Occupation,Employer,Principal Officer,Amount,CPF ID,Recipient,Tender Type ID,Tender Type Description,Record Type ID,Record Type Description,Source Description
2/12/2021,Massachusetts Association of Realtors Inc (80112),"333 Wyman St, Suite 200",Waltham,MA,02451,,,,$400.00,12314,"Montigny, Mark",1,Check,202,Committee,2/12/21 Deposit Report
4/9/2021,Massachusetts Association of Realtors Inc PAC,"333 Wyman St, Ste 200",Waltham,MA,02451-1279,,,,$300.00,15934,"Madaro, Adrian",1,Check,202,Committee,4/9/21 Deposit Report
4/30/2021,Massachusetts Association of Realtors,18 Washington Street,Foxborough,MA,02035,,,,"$20,000.00",80930,Massachusetts Realtor Independent Expenditure Political Action Committee,0,Not Specified,203,Union/Association,2021 IEPAC Year-End Report
6/2/2021,Massachusetts Association of Realtors PAC,256 2nd Ave,Waltham,MA,02451-1102,,,,$400.00,13045,"Finegold, Barry R.",1,Check,202,Committee,6/2/21 Deposit Report
6/10/2021,Massachusetts Association of Realtors Inc. Political Action Committee,18 Washington St,Foxborough,MA,02035-1021,,,,$400.00,16321,"Boncore, Joseph Angelo",1,Check,202,Committee,6/10/21 Deposit Report
6/21/2021,"MASSACHUSETTS ASSOCIATION OF REALTORS,INC.",333 Wyman Bst~suite 200,Waltham,MA,02451,,,,$300.00,15901,"Gonzalez, Carlos",1,Check,203,Union/Association,6/21/21 Deposit Report
7/2/2021,"Massachusetts Association of Realtors, Inc.",333 Wyman St Ste 200,Waltham,MA,02451,,,,$400.00,16505,"Moran, Susan",1,Check,202,Committee,7/2/21 Deposit Report
10/30/2021,Massachusetts Association of Realtors,"333 Wyman Street, Suite 200",Waltham,MA,02451,,,,$300.00,15554,"Gordon, Kenneth I.",1,Check,202,Committee,10/30/21 Deposit Report
11/15/2021,Massachusetts Association of Realtors,"333 Wyman Street, Suite 200",Waltham,MA,02451,,,,$300.00,13597,"Fiola, Carole",1,Check,202,Committee,11/15/21 Deposit Report
11/26/2021,"Massachusetts Association of Realtors, Inc. Political Action Committee (CPF No. 80112)","333 Wyman St ,",Waltham,MA,02451-1269,,,,$400.00,16360,"Hinds, Adam Gray",1,Check,202,Committee,11/26/21 Deposit Report
12/4/2021,"Massachusetts Association of Realtors, Inc.","333 Wyman Street, Suite 200",Waltham,MA,02451,,,,$300.00,14763,"Garballey, Sean",1,Check,202,Committee,12/4/21 Deposit Report
12/13/2021,Massachusetts Association of Realtors Pac,"333 Wyman St., Suite 200",Waltham,MA,02451,,,,$300.00,12576,"Chandler, Harriette L.",1,Check,202,Committee,12/13/21 Deposit Report
12/19/2021,massachusetts association of realtors,333 Wyman St,Waltham,MA,02451,,,,$300.00,16366,"Higgins, Natalie Marie",1,Check,202,Committee,12/19/21 Deposit Report
12/20/2021,Massachusetts Association of Realtors,333 Wyman Street Suite 200,Waltham,MA,02451,,,,$300.00,13951,"Peisch, Alice Hanlon",1,Check,202,Committee,12/20/21 Deposit Report
12/21/2021,Massachusetts Association of Realtors,333 Wyman St Suite 200,Waltham,MA,02451,,,,$300.00,16893,"Vitolo, Thomas J.",1,Check,202,Committee,12/21/21 Deposit Report
12/23/2021,Massachusetts Association of Realtors Inc,333 Wyman St Suite 200,Waltham,MA,02451,,,,$300.00,16166,"Gomez, Adam",1,Check,202,Committee,12/23/21 Deposit Report
12/27/2021,Massachusetts Association of Realtors Inc PAC,"1400 Main St, Fl 1",Waltham,MA,02451-1602,,,,$400.00,16300,"Cyr, Julian Andre",1,Check,202,Committee,12/27/21 Deposit Report
12/30/2021,Massachusetts Association of Realtors Inc,"333 Wyman Street, Suite 200",Waltham,MA,02451,,,,$300.00,16478,"Murray, Brian W.",1,Check,202,Committee,12/30/21 Deposit Report
2/24/2022,MASSACHUSETTS ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,"18 Washington Street, Suite 100",Foxborough,MA,02035,,,,$500.00,10176,"Galvin, William F.",1,Check,202,Committee,2/24/22 Deposit Report
4/14/2022,Massachusetts Association of Realtors,18 Washington Street,Foxborough,MA,02035,,,Theresa Hatton,"$20,000.00",80930,Massachusetts Realtor Independent Expenditure Political Action Committee,0,Not Specified,203,Union/Association,1/1/22 - 8/25/22 7-day/24-hour Report
4/28/2022,"Massachusetts Association of Realtors, Inc.  Cpf# 80112","18 Washington Street, Suite #100",Foxborough,MA,02035,,,,$300.00,15084,"Collins, Nicholas P.",1,Check,202,Committee,4/28/22 Deposit Report
5/10/2022,Massachusetts Association of Realtors PAC,256 2nd Ave,Waltham,MA,02451-1102,,,,$400.00,13045,"Finegold, Barry R.",1,Check,202,Committee,5/10/22 Deposit Report
6/8/2022,Massachusetts Association of Realtors Inc,18 Washington St Suite 100,Foxborough,MA,02035,,,,$500.00,13187,"Sarno, Domenic J.",1,Check,202,Committee,6/8/22 Deposit Report
6/27/2022,"Massachusetts Association of Realtors, Inc","18 Washington St, Suite 100",Foxborough,MA,02035,,,,$500.00,15128,"Fenton, Michael",1,Check,203,Union/Association,6/27/22 Deposit Report
6/28/2022,Massachusetts Association of Realtors Inc PAC,"18 Foxboro Blvd, Ste 100",Foxborough,MA,02035-2800,,,,$300.00,15934,"Madaro, Adrian",1,Check,202,Committee,6/28/22 Deposit Report
7/21/2022,"Massachusetts Association of Realtors, Inc.",18 Washington St Ste 100,Foxborough,MA,02035,,,,$400.00,16505,"Moran, Susan",1,Check,202,Committee,7/21/22 Deposit Report
8/11/2022,Massachusetts Association Of Realtors,18 Washington Street Suite 100,Foxborough,MA,02035,,,,$400.00,14258,"Lovely, Joan",1,Check,201,Individual,8/11/22 Deposit Report
10/27/2022,"Massachusetts Association of Realtors, Inc PAC","18 Washington St , Ste 100",Foxborough,MA,02035-1072,,,,$500.00,15710,"Healey, Maura T.",1,Check,202,Committee,10/27/22 Deposit Report
11/22/2022,Massachusetts Association of Realtors Pac,18 Washington Street Suite 100,Foxboro,MA,02035,,,,$500.00,15745,"Arena-DeRosa, James C.",1,Check,202,Committee,11/22/22 Deposit Report
4/28/2023,"Massachusetts Association of Realtors, Inc.",18 Washington Street- Suite 100,Foxborough,MA,02035,,,Justin Davidson,$300.00,12877,"Elliott, Rodney",1,Check,203,Union/Association,4/28/23 Deposit Report
6/4/2023,Massachusetts Association of Realtors Inc,18 Washington St Suite 100,Foxborough,MA,02035,,,,$500.00,13187,"Sarno, Domenic J.",1,Check,203,Union/Association,6/4/23 Deposit Report
